,1st Electrode,2nd Electrode,F+,F-,S+,S-,Real 1,Imaginary 1,Results
,R22_C52_C54,R2_C29_C36,,,,,,,
59,E3,E11,3,11,11,3,NaN,NaN,
,R18_C50_C52,R2_C29_C36,,,,,,,
60,E4,E11,4,11,11,4,24948.5625,-1226.8883056640625,
,R16_C48_C50,R2_C29_C36,,,,,,,
61,E5,E11,5,11,11,5,24948.5625,-1226.8883056640625,
,R14_C46_C48,R2_C29_C36,,,,,,,
62,E6,E11,6,11,11,6,12236.6162109375,1425.991943359375,
,R12_C44_C46,R2_C29_C36,,,,,,,
63,E7,E11,7,11,11,7,12907.1953125,671.7353515625,
,R10_C42_C44,R2_C29_C36,,,,,,,
64,E8,E11,8,11,11,8,NaN,NaN,
,R8_C40_C42,R2_C29_C36,,,,,,,
65,E9,E11,9,11,11,9,NaN,NaN,
,R9_C38_C40,R2_C29_C36,,,,,,,
66,E10,E11,10,11,11,10,10617.3935546875,220.82293701171875,
,R4_C36_C38,R2_C29_C36,,,,,,,
67,E0,E12,0,12,12,0,58114.09375,-8016.021484375,
,R26_C56_C57,R1_C29_C33,,,,,,,
68,E1,E12,1,12,12,1,53104.28515625,-1403.010498046875,
,R24_C54_C56,R1_C29_C33,,,,,,,
69,E2,E12,2,12,12,2,NaN,NaN,
,R22_C52_C54,R1_C29_C33,,,,,,,
70,E3,E12,3,12,12,3,NaN,NaN,
,R18_C50_C52,R1_C29_C33,,,,,,,
71,E4,E12,4,12,12,4,53939.25390625,-2505.17919921875,
,R16_C48_C50,R1_C29_C33,,,,,,,
72,E5,E12,5,12,12,5,53939.25390625,-2505.17919921875,
,R14_C46_C48,R1_C29_C33,,,,,,,
73,E6,E12,6,12,12,6,46440.2578125,-9006.650390625,
,R12_C44_C46,R1_C29_C33,,,,,,,
74,E7,E12,7,12,12,7,48572.83203125,-7566.89599609375,
,R10_C42_C44,R1_C29_C33,,,,,,,
75,E8,E12,8,12,12,8,NaN,NaN,
,R8_C40_C42,R1_C29_C33,,,,,,,
76,E9,E12,9,12,12,9,NaN,NaN,
,R9_C38_C40,R1_C29_C33,,,,,,,
77,E10,E12,10,12,12,10,42511.1015625,-11776.4765625,
,R4_C36_C38,R1_C29_C33,,,,,,,
78,E11,E12,11,12,12,11,42511.1015625,-11776.4765625,
,R2_C29_C36,R1_C29_C33,,,,,,,
79,E0,E13,0,13,13,0,43785.41796875,-5149.66796875,
,R26_C56_C57,R3_C33_C37,,,,,,,
80,E1,E13,1,13,13,1,53104.28515625,-1403.010498046875,
,R24_C54_C56,R3_C33_C37,,,,,,,
81,E2,E13,2,13,13,2,NaN,NaN,
,R22_C52_C54,R3_C33_C37,,,,,,,
82,E3,E13,3,13,13,3,NaN,NaN,
,R18_C50_C52,R3_C33_C37,,,,,,,
83,E4,E13,4,13,13,4,53939.25390625,-2505.17919921875,
,R16_C48_C50,R3_C33_C37,,,,,,,
84,E5,E13,5,13,13,5,58330.1875,-10658.466796875,
,R14_C46_C48,R3_C33_C37,,,,,,,
85,E6,E13,6,13,13,6,46440.2578125,-9006.650390625,
,R12_C44_C46,R3_C33_C37,,,,,,,
86,E7,E13,7,13,13,7,46440.2578125,-9006.650390625,
,R10_C42_C44,R3_C33_C37,,,,,,,
87,E8,E13,8,13,13,8,NaN,NaN,
,R8_C40_C42,R3_C33_C37,,,,,,,
88,E9,E13,9,13,13,9,NaN,NaN,
,R9_C38_C40,R3_C33_C37,,,,,,,
